island name,Region,Area km2,Perimeter km,abiotic_plant,zoo_plant,total plant,kgc variety,kgc median,phz_variety,phz median,elevation mean,elevation std,elevation range,precipitation mean,precipitation std,precipitation range,median_soil,soil_variety,near_length,number_near,mass_effect,native total bird,native total reptile,native total mammal,native total frugivore,total_bird_mass,total_mammal_mass,total_reptile_mass,total_frugivore_mass,min_temp_range,min_temp_mean,Centroid_X,Centroid_Y
Grand Bahama Island,Bahamas,1142.319883,492.085037,690,217,907,3,2,1,125,3.312442681,3.148097466,25,1441.927181,32.98527828,162,99,1,13212.45296,5,1142.191864,48,5,0,52,2265,0,226,2485,1.800000191,19.00364958,-78.40764173,26.64458952
South Andros,Bahamas,1055.31731,338.5159778,636,295,931,1,3,1,130,4.104534382,4.233019004,38,1097.5787,28.46145287,81,99,1,263.5855156,6,520.062326,46,6,0,50,1913,0,11906,13795,1,20.79999937,-77.64765906,23.93573563
Basse-Terre,Lesser Antilles,879.7370726,161.60749,778,490,1268,3,1,1,140,285.4274723,277.0693644,1450,1576.764012,65.94638449,106,62,2,0,6,616.7331429,28,3,3,35,2249,123,11710,14111,8.399999619,17.99798202,-61.67626474,16.16202996
Dominica,Lesser Antilles,770.3662423,134.3748301,784,519,1303,1,1,1,145,341.3347361,246.5861864,1422,1958.183697,94.16297892,144,45,6,29996.61333,5,602.069167,33,4,2,41,3722,88,3553,7315,8.499999046,20.62995166,-61.35642293,15.42779167
Gonave Island,Hispaniola,705.4383574,158.9807321,529,364,893,2,3,3,140,210.976259,177.9776322,778,1072.567059,154.524244,127,0,1,17441.8349,3,48992.13815,33,6,1,41,2137,58,11048,13246,6,20.74698804,-73.0426399,18.84225437
Saint Lucia,Lesser Antilles,641.4216022,140.1480681,799,465,1264,1,1,2,140,158.9064487,136.0522532,906,2079.58871,78.20083863,279,85,3,2772.629238,9,89.80539177,32,6,6,44,3101,172,8328,11600,4.899999619,20.10000038,-60.96667163,13.89563746
Grande-Terre,Lesser Antilles,616.7726643,151.6051878,736,446,1182,3,2,1,140,33.15390514,24.71057513,130,1399.859353,97.6295413,264,93,4,1487.297965,3,70763.95578,29,3,3,35,2089,123,11710,13941,1.899999619,21.25079356,-61.42427015,16.33002488
Long Island,Bahamas,574.722109,332.7054382,516,251,767,1,3,1,135,5.376883926,6.812382711,51,920.8424658,30.07398146,92,99,1,26345.17518,8,192.6056424,40,6,1,45,1722,16,107,1824,0.699998856,20.57647047,-75.07904106,23.22143716
Eleuthera,Bahamas,540.0241002,464.8539494,458,255,713,1,3,1,130,9.036997973,8.514129444,61,1006.261017,18.11001237,10,99,1,39094.7747,5,450.474082,45,6,1,50,1978,16,107,2080,2,19.18020324,-76.35939367,25.1067367
Mangrove Cay,Bahamas,510.3251525,147.5552188,636,294,930,1,3,1,130,3.715351013,3.806775297,34,1153.930508,21.98490048,49,99,1,263.5855156,6,666.6711863,45,7,0,49,1881,0,11915,13763,1,17.51052636,-77.7650403,24.15382308
Acklins Island,Bahamas,496.8904004,272.9715278,546,291,837,2,3,1,135,4.031416974,4.315776949,40,754.4601449,11.64364627,15,99,1,2266.173968,5,262.7350385,37,3,6,45,1673,0,2647,4312,0.799999237,17.30221354,-74.0005509,22.48485776
Barbados,Lesser Antilles,456.4082458,97.55517509,777,440,1217,3,2,1,145,101.0395145,80.35614635,342,1571.666034,107.5683907,215,0,1,158820,0,NA,24,3,1,28,1485,88,321,1616,2.199998856,18.38818781,-59.55578441,13.16985815
Cat Island,Bahamas,396.8546207,211.5309027,471,251,722,1,3,2,130,10.1382153,10.12263983,68,932.9225806,11.41713605,25,99,1,39094.7747,7,296.5429817,43,6,1,49,1983,816,2728,5510,0.699998856,17.01402357,-75.49480599,24.3542495
Saint Vincent,Lesser Antilles,360.6037373,85.78708855,812,455,1267,1,1,1,145,310.1168978,245.2809131,1208,2092.016827,87.81855313,248,82,5,7148.500899,6,71.44974272,26,4,6,36,2202,232,8580,10714,7.399999619,19.93913029,-61.18982759,13.24866185
Grenada,Lesser Antilles,328.4461941,109.9768761,821,471,1292,2,1,1,145,199.374212,172.6534292,823,1818.454787,113.2695574,499,82,5,25979.75462,2,35.95301874,26,6,2,34,1854,186,8600,10352,4.100000381,21.36283186,-61.68326847,12.11220201
Antigua,Lesser Antilles,297.9593505,142.1286506,612,379,991,2,3,1,140,45.58469448,56.50883334,365,1122.865497,59.83568663,127,93,2,38607.25915,6,310.2053654,22,7,2,31,1444,88,3548,5058,2.300001144,20.70429775,-61.79834896,17.07781963
Middle Caicos,Bahamas,294.9712306,177.1942606,460,273,733,1,6,1,135,2.922339145,4.250388815,40,775.4512535,16.50161611,44,0,1,122.9161723,6,199.5320311,39,2,5,46,2288,36,5650,7972,0.899999619,20.87499952,-71.75902109,21.77715103
Crooked Island,Bahamas,288.6225154,128.6331051,548,294,842,2,3,1,135,4.59567427,4.915707574,41,756.3866279,11.86351384,15,99,1,2066.78931,5,254.8056447,37,3,8,47,1673,16,32,1712,0.800001144,19.37427527,-74.20121471,22.74223677
Mayaguana,Bahamas,285.6229835,122.4566456,414,256,670,2,6,1,135,7.077110357,3.750452765,38,773.6906907,9.598101217,33,99,1,64368.23909,7,186.3777668,36,0,0,36,1663,0,0,1663,0.699998856,20.24999989,-72.95884962,22.37452399
Great Exuma,Bahamas,268.3729844,219.5077171,382,265,647,1,3,1,135,4.196570032,5.371242354,35,978.3973064,6.650262101,15,99,1,0,6,48.84115083,40,7,0,45,1722,0,11910,13608,0.699998856,21.02812503,-75.89777361,23.5776141
